,id,actual,google/gemma-2-2b-it,google/gemma-2-2b-it-Probs
0,23009,2,0,0
1,3477,0,0,0
2,657,0,0,0
3,8030,0,0,0
4,23031,2,0,0
5,22710,2,0,0
6,23291,2,-1,-1
7,6991,0,0,0
8,19302,1,0,0
9,22786,2,-1,-1
10,4143,1,1,1
11,23255,2,2,2
12,8625,0,0,0
13,23387,2,2,2
14,1231,1,0,0
15,13944,0,-1,-1
16,23124,2,0,0
17,22982,2,2,2
18,16803,0,0,0
19,9230,1,0,0
20,16267,0,0,0
21,4765,1,1,1
22,10733,0,0,0
23,23171,2,0,0
24,13432,1,0,0
25,2679,0,0,0
26,9414,0,0,0
27,22669,2,0,0
28,9505,1,1,1
29,22736,2,0,0
30,23168,2,2,2
31,17036,0,0,0
32,17178,0,2,2
33,2696,0,0,0
34,13146,1,0,0
35,1461,0,0,0
36,6559,1,-1,-1
37,9868,0,0,0
38,2867,0,0,0
39,3553,0,0,0
40,23448,2,0,0
41,22608,2,0,0
42,3507,0,1,1
43,23145,2,0,0
44,23512,2,2,2
45,22994,2,0,0
46,10754,0,0,0
47,22893,2,0,0
48,23005,2,2,2
49,10473,1,0,0
50,17927,1,1,1
51,13182,0,0,0
52,23284,2,2,2
53,22800,2,2,2
54,14849,1,2,2
55,2364,0,0,0
56,4329,0,0,0
57,23269,2,-1,-1
58,1613,0,1,1
59,6783,1,1,1
60,23200,2,0,0
61,23381,2,0,0
62,23170,2,2,2
63,19346,0,1,1
64,13306,0,0,0
65,991,0,0,0
66,17633,0,0,0
67,2032,0,0,0
68,19459,0,0,0
69,19284,1,-1,-1
70,15832,1,0,0
71,22748,2,2,2
72,23297,2,2,2
73,5534,1,1,1
74,18026,1,0,0
75,8066,0,0,0
76,14661,0,1,1
77,17790,0,0,0
78,4251,1,2,2
79,4615,0,2,2
80,23283,2,-1,-1
81,13304,0,-1,-1
82,23516,2,2,2
83,23096,2,-1,-1
84,22682,2,2,2
85,22712,2,2,2
86,3548,0,0,0
87,17716,1,-1,-1
88,1899,1,1,1
89,22747,2,-1,-1
90,11062,0,0,0
91,23426,2,2,2
92,2879,0,0,0
93,23146,2,1,1
94,23209,2,2,2
95,4657,1,0,0
96,14166,0,0,0
97,19081,1,0,0
98,13686,0,0,0
99,13504,1,0,0
100,13372,1,0,0
101,11597,1,0,0
102,23228,2,2,2
103,3525,1,1,1
104,17428,1,1,1
105,23180,2,0,0
106,3556,1,2,2
107,17995,1,1,1
108,23456,2,1,1
109,10498,1,1,1
110,6485,0,0,0
111,1716,1,1,1
112,11089,1,0,0
113,6284,0,2,2
114,13375,0,0,0
115,4118,0,1,1
116,10492,1,2,2
117,23185,2,2,2
118,17072,0,0,0
119,22943,2,2,2
120,22979,2,0,0
121,23136,2,-1,-1
122,5564,1,0,0
123,23234,2,-1,-1
124,17866,1,2,2
125,2125,0,0,0
126,13449,1,2,2
127,7292,0,0,0
128,8799,0,0,0
129,12205,1,0,0
130,23268,2,-1,-1
131,17423,0,1,1
132,23331,2,0,0
133,9447,0,0,0
134,22606,2,-1,-1
